driver_avg_corner_speed,driver_min_corner_speed,driver_corner_throttle,driver_corner_brake,driver_corner_rpm,driver_avg_straight_speed,driver_top_speed,driver_straight_throttle,driver_drs_usage,driver,circuit_id,season
132.6418005923001,52.0,26.99063087614401,18.322054713478913,8759.533711899969,157.3666671745347,325.0,55.204325473467726,100.0,bot,hockenheimring,2019
121.29106581192809,51.0,7.485958801838113,31.23627693504948,8176.5714197863,140.24772916328226,325.0,52.13812348369678,100.0,bot,hungaroring,2018
121.29106581192809,51.0,7.485958801838113,31.23627693504948,8176.5714197863,140.24772916328226,325.0,52.13812348369678,100.0,bot,hungaroring,2019
122.27192365691039,54.0,10.246218982140823,23.25707198115535,8194.427780893438,143.8464019284295,324.0,51.24789962300213,100.0,bot,hungaroring,2020
124.59500184758947,48.0,10.271050283879125,26.888952069677227,8274.317640015917,145.84165681597037,323.3333333333333,53.08009787116572,100.0,bot,hungaroring,2021
123.55886626163164,44.5,11.226421347867044,25.170957499819245,8148.1144137354095,143.73547805766336,320.75,52.230644845630735,100.0,bot,hungaroring,2022
123.29562512924126,39.0,11.27259835581166,28.04207222721434,8199.763191525431,152.13545538224432,334.0,56.14380357116931,100.0,bot,interlagos,2018
123.29562512924126,39.0,11.27259835581166,28.04207222721434,8199.763191525431,152.13545538224432,334.0,56.14380357116931,100.0,bot,interlagos,2019
122.45860714868243,43.5,14.523663380464528,27.186869192837584,8325.722409291011,150.8140878009315,333.5,55.854476714488044,100.0,bot,interlagos,2021
119.9915248664583,34.0,14.323751447024526,27.223029644611064,8328.227026569864,146.9840582381551,330.6666666666667,54.7619166913023,100.0,bot,interlagos,2022
166.02920521494,50.0,38.345139540960126,14.445020222044942,9276.746455172557,187.9915721236615,344.0,64.55839614637281,100.0,bot,monza,2018
166.02920521494,50.0,38.345139540960126,14.445020222044942,9276.746455172557,187.9915721236615,344.0,64.55839614637281,100.0,bot,monza,2019
166.47328875270915,49.5,44.45092003761515,9.558719191474118,9362.274461467254,189.58141214353532,341.5,64.14921362277984,100.0,bot,monza,2020
163.03343826598947,49.333333333333336,40.267521249870434,13.944543803300087,9168.612840751615,189.18991924885088,340.6666666666667,64.36059427820827,100.0,bot,monza,2021
160.64929044084766,47.75,39.99032458904562,13.174823494658721,9216.294385247355,188.63748035588318,340.0,64.88071393245826,100.0,bot,monza,2022
186.33051127624668,37.0,50.28357434829842,25.896018959179145,9922.690112017888,163.36097427889538,321.0,57.697885432432486,100.0,bot,nurburgring,2020
144.5162150560009,50.0,20.29040411903292,21.618815968433562,8740.674299283715,172.25860113873836,328.0,62.10768319423494,100.0,bot,red_bull_ring,2018
144.5162150560009,50.0,20.29040411903292,21.618815968433562,8740.674299283715,172.25860113873836,328.0,62.10768319423494,100.0,bot,red_bull_ring,2019
145.32383814936702,31.0,21.848944004845897,19.511367259515737,8768.371555597123,172.06001158305077,326.5,61.515976455649096,100.0,bot,red_bull_ring,2020
143.16460878987138,20.666666666666668,23.7512360906163,18.689446909105772,8681.23117508556,172.8034402494495,326.6666666666667,61.128590233282154,100.0,bot,red_bull_ring,2021
197.7775384703151,59.0,39.57857521211777,32.54848027047758,9552.764933547021,169.81969349821097,349.0,44.42208783034622,100.0,bot,rodriguez,2018
